eBird.Hotspot.Name,LOCALITY_ID,Latitude,Longitude,State,Status,area_sqkm,County
Indreland Audubon Wetland Preserve,L4665721,45.681485,-111.0178714,US-MT,N,0.2177484488473283,Gallatin
Leitner Drive/Holiday Inn Express Wetlands,L3558925,35.0879238,-80.8819056,US-NC,N,0.2729944916196065,Mecklenburg
Sarita Wetland,L1471155,44.977359,-93.1817346,US-MN,C,0.04662361146725574,Ramsey
Pine Brook Wetlands (Clear Lake),L762725,29.6057717,-95.1156964,US-TX,N,0.03849801611161884,Harris
Wayne National Forest--Rutherford Wetland and Anderson Nature Trail,L2680189,39.5085439,-82.2618484,US-OH,N,0.26136609337574057,Hocking
Taylor Wetlands,L5567043,47.0380947,-122.8527421,US-WA,C,0.27760571566488595,Thurston
Las Lagunas de Anza wetlands (Drive-in Ponds),L879018,31.3896771,-110.9557467,US-AZ,N,0.14832382695793547,Santa Cruz
Susquehanna Riverlands--Wetlands Nature Area,L697677,41.0777623,-76.1352723,US-PA,N,0.6727333674539198,Luzerne
New World Avenue Wetlands (POW MIA Mem Pkwy),L4583569,30.2625886,-81.8862534,US-FL,U,2.1129771521886735,Duval
Buckner Educational Wetlands,L280810,39.1420977,-94.1752012,US-MO,C,0.10230601610220968,Jackson
Millennium Trail wetlands,L2255107,42.2124915,-85.5924869,US-MI,U,0.16748405681696907,Kalamazoo
Arlington Wetlands,L4339288,38.698868,-90.0408983,US-IL,U,0.4660911339991391,Madison
Westlake Wetland,L7578615,41.4274793,-81.9431948,US-OH,C,0.06209659695488214,Cuyahoga
Swallowtail Wetland,L5781255,39.157599,-95.008121,US-KS,C,0.24298953179020807,Leavenworth
East Bangor Wetland Complex,L1842156,40.8855314,-75.180763,US-PA,N,1.2109631477281748,Northampton
